Date1,State,Imported Cases,Local Cases,Total Cases,Date
1-Jun,Johor,0,431,431,1-Jun
1-Jun,Kedah,0,236,236,1-Jun
1-Jun,Kelantan,0,531,531,1-Jun
1-Jun,Melaka,0,249,249,1-Jun
1-Jun,Negeri Sembilan,0,397,397,1-Jun
1-Jun,Pahang,0,190,190,1-Jun
1-Jun,Perak,0,387,387,1-Jun
1-Jun,Perlis,0,0,0,1-Jun
1-Jun,Penang,0,400,400,1-Jun
1-Jun,Sabah,0,318,318,1-Jun
1-Jun,Sarawak,0,703,703,1-Jun
1-Jun,Selangor,2,2068,2070,1-Jun
1-Jun,Terengganu,0,198,198,1-Jun
1-Jun,Federal Territory of Kuala Lumpur,0,817,817,1-Jun
1-Jun,Federal Territory of Labuan,0,162,162,1-Jun
1-Jun,Federal Territory of Putrajaya,0,18,18,1-Jun
2-Jun,Johor,0,554,554,2-Jun
2-Jun,Kedah,0,283,283,2-Jun
2-Jun,Kelantan,0,541,541,2-Jun
2-Jun,Melaka,0,209,209,2-Jun
2-Jun,Negeri Sembilan,0,586,586,2-Jun
2-Jun,Pahang,0,237,237,2-Jun
2-Jun,Perak,0,224,224,2-Jun
2-Jun,Perlis,0,7,7,2-Jun
2-Jun,Penang,0,407,407,2-Jun
2-Jun,Sabah,0,254,254,2-Jun
2-Jun,Sarawak,0,588,588,2-Jun
2-Jun,Selangor,0,2728,2728,2-Jun
2-Jun,Terengganu,0,224,224,2-Jun
2-Jun,Federal Territory of Kuala Lumpur,2,701,703,2-Jun
2-Jun,Federal Territory of Labuan,0,159,159,2-Jun
2-Jun,Federal Territory of Putrajaya,0,1,1,2-Jun
3-Jun,Johor,55,752,807,3-Jun
3-Jun,Kedah,0,373,373,3-Jun
3-Jun,Kelantan,0,414,414,3-Jun
3-Jun,Melaka,0,322,322,3-Jun
3-Jun,Negeri Sembilan,0,576,576,3-Jun
3-Jun,Pahang,0,135,135,3-Jun
3-Jun,Perak,0,384,384,3-Jun
3-Jun,Perlis,0,5,5,3-Jun
3-Jun,Penang,0,303,303,3-Jun
3-Jun,Sabah,1,203,204,3-Jun
3-Jun,Sarawak,0,594,594,3-Jun
3-Jun,Selangor,2,3125,3127,3-Jun
3-Jun,Terengganu,0,127,127,3-Jun
3-Jun,Federal Territory of Kuala Lumpur,6,801,807,3-Jun
3-Jun,Federal Territory of Labuan,0,62,62,3-Jun
3-Jun,Federal Territory of Putrajaya,0,33,33,3-Jun
4-Jun,Johor,1,446,447,4-Jun
4-Jun,Kedah,0,263,263,4-Jun
4-Jun,Kelantan,0,286,286,4-Jun
4-Jun,Melaka,0,234,234,4-Jun
4-Jun,Negeri Sembilan,0,709,709,4-Jun
4-Jun,Pahang,0,146,146,4-Jun
4-Jun,Perak,0,371,371,4-Jun
4-Jun,Perlis,0,8,8,4-Jun
4-Jun,Penang,0,376,376,4-Jun
4-Jun,Sabah,0,287,287,4-Jun
4-Jun,Sarawak,0,706,706,4-Jun
4-Jun,Selangor,0,2612,2612,4-Jun
4-Jun,Terengganu,0,203,203,4-Jun
4-Jun,Federal Territory of Kuala Lumpur,1,851,852,4-Jun
4-Jun,Federal Territory of Labuan,0,230,230,4-Jun
4-Jun,Federal Territory of Putrajaya,0,20,20,4-Jun
5-Jun,Johor,0,412,412,5-Jun
5-Jun,Kedah,0,263,263,5-Jun
5-Jun,Kelantan,0,312,312,5-Jun
5-Jun,Melaka,0,206,206,5-Jun
5-Jun,Negeri Sembilan,0,843,843,5-Jun
5-Jun,Pahang,0,286,286,5-Jun
5-Jun,Perak,1,252,253,5-Jun
5-Jun,Perlis,0,4,4,5-Jun
5-Jun,Penang,0,370,370,5-Jun
5-Jun,Sabah,0,259,259,5-Jun
5-Jun,Sarawak,0,651,651,5-Jun
5-Jun,Selangor,2,2509,2511,5-Jun
5-Jun,Terengganu,0,190,190,5-Jun
5-Jun,Federal Territory of Kuala Lumpur,5,678,683,5-Jun
5-Jun,Federal Territory of Labuan,0,205,205,5-Jun
5-Jun,Federal Territory of Putrajaya,0,12,12,5-Jun
6-Jun,Johor,1,565,566,6-Jun
6-Jun,Kedah,0,125,125,6-Jun
6-Jun,Kelantan,0,270,270,6-Jun
6-Jun,Melaka,0,225,225,6-Jun
6-Jun,Negeri Sembilan,0,556,556,6-Jun
6-Jun,Pahang,0,155,155,6-Jun
6-Jun,Perak,0,174,174,6-Jun
6-Jun,Perlis,0,2,2,6-Jun
6-Jun,Penang,0,271,271,6-Jun
6-Jun,Sabah,0,305,305,6-Jun
6-Jun,Sarawak,1,600,601,6-Jun
6-Jun,Selangor,10,2178,2188,6-Jun
6-Jun,Terengganu,0,158,158,6-Jun
6-Jun,Federal Territory of Kuala Lumpur,1,415,416,6-Jun
6-Jun,Federal Territory of Labuan,1,212,213,6-Jun
6-Jun,Federal Territory of Putrajaya,0,30,30,6-Jun
7-Jun,Johor,0,355,355,7-Jun
7-Jun,Kedah,0,194,194,7-Jun
7-Jun,Kelantan,0,341,341,7-Jun
7-Jun,Melaka,0,178,178,7-Jun
7-Jun,Negeri Sembilan,0,571,571,7-Jun
7-Jun,Pahang,0,99,99,7-Jun
7-Jun,Perak,0,177,177,7-Jun
7-Jun,Perlis,0,1,1,7-Jun
7-Jun,Penang,0,153,153,7-Jun
7-Jun,Sabah,0,336,336,7-Jun
7-Jun,Sarawak,0,703,703,7-Jun
7-Jun,Selangor,0,1374,1374,7-Jun
7-Jun,Terengganu,0,117,117,7-Jun
7-Jun,Federal Territory of Kuala Lumpur,14,455,469,7-Jun
7-Jun,Federal Territory of Labuan,0,209,209,7-Jun
7-Jun,Federal Territory of Putrajaya,0,8,8,7-Jun
8-Jun,Johor,0,456,456,8-Jun
8-Jun,Kedah,0,148,148,8-Jun
8-Jun,Kelantan,0,204,204,8-Jun
8-Jun,Melaka,0,314,314,8-Jun
8-Jun,Negeri Sembilan,0,505,505,8-Jun
8-Jun,Pahang,0,157,157,8-Jun
8-Jun,Perak,0,225,225,8-Jun
8-Jun,Perlis,0,1,1,8-Jun
8-Jun,Penang,0,185,185,8-Jun
8-Jun,Sabah,0,350,350,8-Jun
8-Jun,Sarawak,0,707,707,8-Jun
8-Jun,Selangor,2,1524,1526,8-Jun
8-Jun,Terengganu,0,106,106,8-Jun
8-Jun,Federal Territory of Kuala Lumpur,2,466,468,8-Jun
8-Jun,Federal Territory of Labuan,0,191,191,8-Jun
8-Jun,Federal Territory of Putrajaya,0,27,27,8-Jun
9-Jun,Johor,1,468,469,9-Jun
9-Jun,Kedah,0,135,135,9-Jun
9-Jun,Kelantan,0,340,340,9-Jun
9-Jun,Melaka,0,150,150,9-Jun
9-Jun,Negeri Sembilan,4,507,511,9-Jun
9-Jun,Pahang,0,232,232,9-Jun
9-Jun,Perak,0,175,175,9-Jun
9-Jun,Perlis,0,4,4,9-Jun
9-Jun,Penang,0,194,194,9-Jun
9-Jun,Sabah,0,232,232,9-Jun
9-Jun,Sarawak,0,419,419,9-Jun
9-Jun,Selangor,3,2291,2294,9-Jun
9-Jun,Terengganu,0,171,171,9-Jun
9-Jun,Federal Territory of Kuala Lumpur,3,704,707,9-Jun
9-Jun,Federal Territory of Labuan,0,200,200,9-Jun
9-Jun,Federal Territory of Putrajaya,0,17,17,9-Jun
10-Jun,Johor,1,524,525,10-Jun
10-Jun,Kedah,0,309,309,10-Jun
10-Jun,Kelantan,0,262,262,10-Jun
10-Jun,Melaka,0,184,184,10-Jun
10-Jun,Negeri Sembilan,0,593,593,10-Jun
10-Jun,Pahang,0,112,112,10-Jun
10-Jun,Perak,0,143,143,10-Jun
10-Jun,Perlis,0,3,3,10-Jun
10-Jun,Penang,0,166,166,10-Jun
10-Jun,Sabah,0,233,233,10-Jun
10-Jun,Sarawak,0,631,631,10-Jun
10-Jun,Selangor,4,1510,1514,10-Jun
10-Jun,Terengganu,0,108,108,10-Jun
10-Jun,Federal Territory of Kuala Lumpur,3,769,772,10-Jun
10-Jun,Federal Territory of Labuan,0,106,106,10-Jun
10-Jun,Federal Territory of Putrajaya,0,18,18,10-Jun
11-Jun,Johor,0,426,426,11-Jun
11-Jun,Kedah,0,161,161,11-Jun
11-Jun,Kelantan,0,248,248,11-Jun
11-Jun,Melaka,0,170,170,11-Jun
11-Jun,Negeri Sembilan,0,685,685,11-Jun
11-Jun,Pahang,0,89,89,11-Jun
11-Jun,Perak,0,161,161,11-Jun
11-Jun,Perlis,0,2,2,11-Jun
11-Jun,Penang,0,205,205,11-Jun
11-Jun,Sabah,0,309,309,11-Jun
11-Jun,Sarawak,0,699,699,11-Jun
11-Jun,Selangor,4,2558,2562,11-Jun
11-Jun,Terengganu,0,66,66,11-Jun
11-Jun,Federal Territory of Kuala Lumpur,0,884,884,11-Jun
11-Jun,Federal Territory of Labuan,0,176,176,11-Jun
11-Jun,Federal Territory of Putrajaya,0,10,10,11-Jun
12-Jun,Johor,1,504,505,12-Jun
12-Jun,Kedah,0,171,171,12-Jun
12-Jun,Kelantan,0,337,337,12-Jun
12-Jun,Melaka,0,178,178,12-Jun
12-Jun,Negeri Sembilan,0,618,618,12-Jun
12-Jun,Pahang,0,121,121,12-Jun
12-Jun,Perak,0,218,218,12-Jun
12-Jun,Perlis,0,5,5,12-Jun
12-Jun,Penang,0,198,198,12-Jun
12-Jun,Sabah,0,378,378,12-Jun
12-Jun,Sarawak,0,569,569,12-Jun
12-Jun,Selangor,1,1582,1583,12-Jun
12-Jun,Terengganu,0,82,82,12-Jun
12-Jun,Federal Territory of Kuala Lumpur,4,559,563,12-Jun
12-Jun,Federal Territory of Labuan,0,250,250,12-Jun
12-Jun,Federal Territory of Putrajaya,0,23,23,12-Jun
13-Jun,Johor,0,363,363,13-Jun
13-Jun,Kedah,0,301,301,13-Jun
13-Jun,Kelantan,0,179,179,13-Jun
13-Jun,Melaka,0,145,145,13-Jun
13-Jun,Negeri Sembilan,0,331,331,13-Jun
13-Jun,Pahang,0,78,78,13-Jun
13-Jun,Perak,0,121,121,13-Jun
13-Jun,Perlis,0,5,5,13-Jun
13-Jun,Penang,0,256,256,13-Jun
13-Jun,Sabah,0,335,335,13-Jun
13-Jun,Sarawak,2,544,546,13-Jun
13-Jun,Selangor,1,1973,1974,13-Jun
13-Jun,Terengganu,0,46,46,13-Jun
13-Jun,Federal Territory of Kuala Lumpur,1,462,463,13-Jun
13-Jun,Federal Territory of Labuan,1,158,159,13-Jun
13-Jun,Federal Territory of Putrajaya,0,7,7,13-Jun
14-Jun,Johor,2,430,432,14-Jun
14-Jun,Kedah,0,199,199,14-Jun
14-Jun,Kelantan,0,214,214,14-Jun
14-Jun,Melaka,0,119,119,14-Jun
14-Jun,Negeri Sembilan,2,323,325,14-Jun
14-Jun,Pahang,0,61,61,14-Jun
14-Jun,Perak,0,136,136,14-Jun
14-Jun,Perlis,0,1,1,14-Jun
14-Jun,Penang,0,214,214,14-Jun
14-Jun,Sabah,0,273,273,14-Jun
14-Jun,Sarawak,0,744,744,14-Jun
14-Jun,Selangor,0,1523,1523,14-Jun
14-Jun,Terengganu,0,86,86,14-Jun
14-Jun,Federal Territory of Kuala Lumpur,2,503,505,14-Jun
14-Jun,Federal Territory of Labuan,0,113,113,14-Jun
14-Jun,Federal Territory of Putrajaya,0,10,10,14-Jun
15-Jun,Johor,0,366,366,15-Jun
15-Jun,Kedah,0,252,252,15-Jun
15-Jun,Kelantan,0,245,245,15-Jun
15-Jun,Melaka,0,155,155,15-Jun
15-Jun,Negeri Sembilan,0,396,396,15-Jun
15-Jun,Pahang,0,32,32,15-Jun
15-Jun,Perak,0,68,68,15-Jun
15-Jun,Perlis,0,1,1,15-Jun
15-Jun,Penang,0,124,124,15-Jun
15-Jun,Sabah,0,230,230,15-Jun
15-Jun,Sarawak,1,718,719,15-Jun
15-Jun,Selangor,2,1996,1998,15-Jun
15-Jun,Terengganu,0,43,43,15-Jun
15-Jun,Federal Territory of Kuala Lumpur,3,650,653,15-Jun
15-Jun,Federal Territory of Labuan,0,138,138,15-Jun
15-Jun,Federal Territory of Putrajaya,0,5,5,15-Jun
16-Jun,Johor,0,392,392,16-Jun
16-Jun,Kedah,0,228,228,16-Jun
16-Jun,Kelantan,0,230,230,16-Jun
16-Jun,Melaka,0,152,152,16-Jun
16-Jun,Negeri Sembilan,0,607,607,16-Jun
16-Jun,Pahang,0,57,57,16-Jun
16-Jun,Perak,0,66,66,16-Jun
16-Jun,Perlis,0,8,8,16-Jun
16-Jun,Penang,0,99,99,16-Jun
16-Jun,Sabah,0,184,184,16-Jun
16-Jun,Sarawak,0,570,570,16-Jun
16-Jun,Selangor,0,1914,1914,16-Jun
16-Jun,Terengganu,0,56,56,16-Jun
16-Jun,Federal Territory of Kuala Lumpur,3,480,483,16-Jun
16-Jun,Federal Territory of Labuan,0,101,101,16-Jun
16-Jun,Federal Territory of Putrajaya,0,6,6,16-Jun
17-Jun,Johor,0,449,449,17-Jun
17-Jun,Kedah,0,197,197,17-Jun
17-Jun,Kelantan,0,154,154,17-Jun
17-Jun,Melaka,0,184,184,17-Jun
17-Jun,Negeri Sembilan,0,1086,1086,17-Jun
17-Jun,Pahang,0,54,54,17-Jun
17-Jun,Perak,0,30,30,17-Jun
17-Jun,Perlis,0,0,0,17-Jun
17-Jun,Penang,0,97,97,17-Jun
17-Jun,Sabah,0,248,248,17-Jun
17-Jun,Sarawak,0,559,559,17-Jun
17-Jun,Selangor,1,1858,1859,17-Jun
17-Jun,Terengganu,0,77,77,17-Jun
17-Jun,Federal Territory of Kuala Lumpur,2,641,643,17-Jun
17-Jun,Federal Territory of Labuan,0,97,97,17-Jun
17-Jun,Federal Territory of Putrajaya,0,7,7,17-Jun
18-Jun,Johor,0,592,592,18-Jun
18-Jun,Kedah,0,159,159,18-Jun
18-Jun,Kelantan,0,200,200,18-Jun
18-Jun,Melaka,0,223,223,18-Jun
18-Jun,Negeri Sembilan,0,870,870,18-Jun
18-Jun,Pahang,0,79,79,18-Jun
18-Jun,Perak,0,357,357,18-Jun
18-Jun,Perlis,0,2,2,18-Jun
18-Jun,Penang,0,122,122,18-Jun
18-Jun,Sabah,0,199,199,18-Jun
18-Jun,Sarawak,0,536,536,18-Jun
18-Jun,Selangor,0,2095,2095,18-Jun
18-Jun,Terengganu,0,32,32,18-Jun
18-Jun,Federal Territory of Kuala Lumpur,5,816,821,18-Jun
18-Jun,Federal Territory of Labuan,0,152,152,18-Jun
18-Jun,Federal Territory of Putrajaya,0,6,6,18-Jun
19-Jun,Johor,0,498,498,19-Jun
19-Jun,Kedah,0,204,204,19-Jun
19-Jun,Kelantan,0,223,223,19-Jun
19-Jun,Melaka,0,134,134,19-Jun
19-Jun,Negeri Sembilan,0,770,770,19-Jun
19-Jun,Pahang,0,56,56,19-Jun
19-Jun,Perak,0,245,245,19-Jun
19-Jun,Perlis,0,0,0,19-Jun
19-Jun,Penang,0,167,167,19-Jun
19-Jun,Sabah,0,201,201,19-Jun
19-Jun,Sarawak,0,569,569,19-Jun
19-Jun,Selangor,1,2111,2112,19-Jun
19-Jun,Terengganu,0,62,62,19-Jun
19-Jun,Federal Territory of Kuala Lumpur,0,483,483,19-Jun
19-Jun,Federal Territory of Labuan,0,185,185,19-Jun
19-Jun,Federal Territory of Putrajaya,0,3,3,19-Jun
20-Jun,Johor,0,627,627,20-Jun
20-Jun,Kedah,0,170,170,20-Jun
20-Jun,Kelantan,0,167,167,20-Jun
20-Jun,Melaka,0,183,183,20-Jun
20-Jun,Negeri Sembilan,0,693,693,20-Jun
20-Jun,Pahang,0,77,77,20-Jun
20-Jun,Perak,0,205,205,20-Jun
20-Jun,Perlis,0,2,2,20-Jun
20-Jun,Penang,0,114,114,20-Jun
20-Jun,Sabah,0,163,163,20-Jun
20-Jun,Sarawak,3,661,664,20-Jun
20-Jun,Selangor,4,1680,1684,20-Jun
20-Jun,Terengganu,0,12,12,20-Jun
20-Jun,Federal Territory of Kuala Lumpur,0,379,379,20-Jun
20-Jun,Federal Territory of Labuan,0,156,156,20-Jun
20-Jun,Federal Territory of Putrajaya,0,4,4,20-Jun
21-Jun,Johor,6,314,320,21-Jun
21-Jun,Kedah,0,182,182,21-Jun
21-Jun,Kelantan,0,219,219,21-Jun
21-Jun,Melaka,0,205,205,21-Jun
21-Jun,Negeri Sembilan,0,437,437,21-Jun
21-Jun,Pahang,0,50,50,21-Jun
21-Jun,Perak,0,453,453,21-Jun
21-Jun,Perlis,0,0,0,21-Jun
21-Jun,Penang,0,84,84,21-Jun
21-Jun,Sabah,0,166,166,21-Jun
21-Jun,Sarawak,2,682,684,21-Jun
21-Jun,Selangor,0,1346,1346,21-Jun
21-Jun,Terengganu,0,18,18,21-Jun
21-Jun,Federal Territory of Kuala Lumpur,0,310,310,21-Jun
21-Jun,Federal Territory of Labuan,0,130,130,21-Jun
21-Jun,Federal Territory of Putrajaya,0,15,15,21-Jun
22-Jun,Johor,0,239,239,22-Jun
22-Jun,Kedah,0,142,142,22-Jun
22-Jun,Kelantan,0,165,165,22-Jun
22-Jun,Melaka,0,167,167,22-Jun
22-Jun,Negeri Sembilan,0,585,585,22-Jun
22-Jun,Pahang,0,131,131,22-Jun
22-Jun,Perak,0,68,68,22-Jun
22-Jun,Perlis,0,2,2,22-Jun
22-Jun,Penang,0,195,195,22-Jun
22-Jun,Sabah,0,193,193,22-Jun
22-Jun,Sarawak,0,507,507,22-Jun
22-Jun,Selangor,1,1566,1567,22-Jun
22-Jun,Terengganu,0,37,37,22-Jun
22-Jun,Federal Territory of Kuala Lumpur,1,635,636,22-Jun
22-Jun,Federal Territory of Labuan,0,104,104,22-Jun
22-Jun,Federal Territory of Putrajaya,0,7,7,22-Jun
23-Jun,Johor,1,282,283,23-Jun
23-Jun,Kedah,0,189,189,23-Jun
23-Jun,Kelantan,0,81,81,23-Jun
23-Jun,Melaka,0,180,180,23-Jun
23-Jun,Negeri Sembilan,0,677,677,23-Jun
23-Jun,Pahang,0,245,245,23-Jun
23-Jun,Perak,0,75,75,23-Jun
23-Jun,Perlis,0,1,1,23-Jun
23-Jun,Penang,0,159,159,23-Jun
23-Jun,Sabah,0,129,129,23-Jun
23-Jun,Sarawak,0,577,577,23-Jun
23-Jun,Selangor,6,2001,2007,23-Jun
23-Jun,Terengganu,0,27,27,23-Jun
23-Jun,Federal Territory of Kuala Lumpur,0,531,531,23-Jun
23-Jun,Federal Territory of Labuan,0,77,77,23-Jun
23-Jun,Federal Territory of Putrajaya,0,13,13,23-Jun
24-Jun,Johor,0,346,346,24-Jun
24-Jun,Kedah,0,271,271,24-Jun
24-Jun,Kelantan,0,135,135,24-Jun
24-Jun,Melaka,0,247,247,24-Jun
24-Jun,Negeri Sembilan,0,781,781,24-Jun
24-Jun,Pahang,0,162,162,24-Jun
24-Jun,Perak,0,120,120,24-Jun
24-Jun,Perlis,0,5,5,24-Jun
24-Jun,Penang,0,108,108,24-Jun
24-Jun,Sabah,0,203,203,24-Jun
24-Jun,Sarawak,0,581,581,24-Jun
24-Jun,Selangor,2,2072,2074,24-Jun
24-Jun,Terengganu,0,29,29,24-Jun
24-Jun,Federal Territory of Kuala Lumpur,6,552,558,24-Jun
24-Jun,Federal Territory of Labuan,0,212,212,24-Jun
24-Jun,Federal Territory of Putrajaya,0,17,17,24-Jun
25-Jun,Johor,0,196,196,25-Jun
25-Jun,Kedah,0,186,186,25-Jun
25-Jun,Kelantan,0,98,98,25-Jun
25-Jun,Melaka,0,223,223,25-Jun
25-Jun,Negeri Sembilan,0,658,658,25-Jun
25-Jun,Pahang,0,139,139,25-Jun
25-Jun,Perak,0,72,72,25-Jun
25-Jun,Perlis,0,0,0,25-Jun
25-Jun,Penang,0,270,270,25-Jun
25-Jun,Sabah,0,156,156,25-Jun
25-Jun,Sarawak,0,673,673,25-Jun
25-Jun,Selangor,21,2187,2208,25-Jun
25-Jun,Terengganu,0,46,46,25-Jun
25-Jun,Federal Territory of Kuala Lumpur,11,771,782,25-Jun
25-Jun,Federal Territory of Labuan,0,123,123,25-Jun
25-Jun,Federal Territory of Putrajaya,0,14,14,25-Jun
26-Jun,Johor,0,329,329,26-Jun
26-Jun,Kedah,0,186,186,26-Jun
26-Jun,Kelantan,0,103,103,26-Jun
26-Jun,Melaka,0,355,355,26-Jun
26-Jun,Negeri Sembilan,0,741,741,26-Jun
26-Jun,Pahang,0,220,220,26-Jun
26-Jun,Perak,0,137,137,26-Jun
26-Jun,Perlis,0,4,4,26-Jun
26-Jun,Penang,0,160,160,26-Jun
26-Jun,Sabah,0,189,189,26-Jun
26-Jun,Sarawak,1,491,492,26-Jun
26-Jun,Selangor,3,2108,2111,26-Jun
26-Jun,Terengganu,0,29,29,26-Jun
26-Jun,Federal Territory of Kuala Lumpur,6,628,634,26-Jun
26-Jun,Federal Territory of Labuan,0,99,99,26-Jun
26-Jun,Federal Territory of Putrajaya,0,24,24,26-Jun
27-Jun,Johor,0,312,312,27-Jun
27-Jun,Kedah,0,129,129,27-Jun
27-Jun,Kelantan,0,133,133,27-Jun
27-Jun,Melaka,0,380,380,27-Jun
27-Jun,Negeri Sembilan,0,501,501,27-Jun
27-Jun,Pahang,0,118,118,27-Jun
27-Jun,Perak,0,229,229,27-Jun
27-Jun,Perlis,0,0,0,27-Jun
27-Jun,Penang,0,138,138,27-Jun
27-Jun,Sabah,0,190,190,27-Jun
27-Jun,Sarawak,0,513,513,27-Jun
27-Jun,Selangor,1,2212,2213,27-Jun
27-Jun,Terengganu,0,16,16,27-Jun
27-Jun,Federal Territory of Kuala Lumpur,2,628,630,27-Jun
27-Jun,Federal Territory of Labuan,0,83,83,27-Jun
27-Jun,Federal Territory of Putrajaya,0,4,4,27-Jun
28-Jun,Johor,1,243,244,28-Jun
28-Jun,Kedah,0,194,194,28-Jun
28-Jun,Kelantan,0,101,101,28-Jun
28-Jun,Melaka,0,183,183,28-Jun
28-Jun,Negeri Sembilan,0,629,629,28-Jun
28-Jun,Pahang,2,111,113,28-Jun
28-Jun,Perak,0,400,400,28-Jun
28-Jun,Perlis,0,5,5,28-Jun
28-Jun,Penang,0,88,88,28-Jun
28-Jun,Sabah,0,258,258,28-Jun
28-Jun,Sarawak,4,409,413,28-Jun
28-Jun,Selangor,0,1989,1989,28-Jun
28-Jun,Terengganu,0,23,23,28-Jun
28-Jun,Federal Territory of Kuala Lumpur,0,469,469,28-Jun
28-Jun,Federal Territory of Labuan,0,108,108,28-Jun
28-Jun,Federal Territory of Putrajaya,0,8,8,28-Jun
29-Jun,Johor,0,271,271,29-Jun
29-Jun,Kedah,0,284,284,29-Jun
29-Jun,Kelantan,0,131,131,29-Jun
29-Jun,Melaka,0,252,252,29-Jun
29-Jun,Negeri Sembilan,0,700,700,29-Jun
29-Jun,Pahang,0,250,250,29-Jun
29-Jun,Perak,0,184,184,29-Jun
29-Jun,Perlis,0,0,0,29-Jun
29-Jun,Penang,0,115,115,29-Jun
29-Jun,Sabah,0,178,178,29-Jun
29-Jun,Sarawak,0,242,242,29-Jun
29-Jun,Selangor,12,2299,2311,29-Jun
29-Jun,Terengganu,0,21,21,29-Jun
29-Jun,Federal Territory of Kuala Lumpur,2,1361,1363,29-Jun
29-Jun,Federal Territory of Labuan,0,117,117,29-Jun
29-Jun,Federal Territory of Putrajaya,0,32,32,29-Jun
30-Jun,Johor,0,299,299,30-Jun
30-Jun,Kedah,0,226,226,30-Jun
30-Jun,Kelantan,0,159,159,30-Jun
30-Jun,Melaka,0,223,223,30-Jun
30-Jun,Negeri Sembilan,0,644,644,30-Jun
30-Jun,Pahang,0,210,210,30-Jun
30-Jun,Perak,0,137,137,30-Jun
30-Jun,Perlis,0,5,5,30-Jun
30-Jun,Penang,0,131,131,30-Jun
30-Jun,Sabah,0,242,242,30-Jun
30-Jun,Sarawak,0,376,376,30-Jun
30-Jun,Selangor,9,2836,2845,30-Jun
30-Jun,Terengganu,0,20,20,30-Jun
30-Jun,Federal Territory of Kuala Lumpur,7,625,632,30-Jun
30-Jun,Federal Territory of Labuan,0,132,132,30-Jun
30-Jun,Federal Territory of Putrajaya,0,11,11,30-Jun
1-Jul,Johor,1,270,271,1-Jul
1-Jul,Kedah,0,250,250,1-Jul
1-Jul,Kelantan,0,108,108,1-Jul
1-Jul,Melaka,0,311,311,1-Jul
1-Jul,Negeri Sembilan,0,692,692,1-Jul
1-Jul,Pahang,0,195,195,1-Jul
1-Jul,Perak,0,149,149,1-Jul
1-Jul,Perlis,0,1,1,1-Jul
1-Jul,Penang,0,174,174,1-Jul
1-Jul,Sabah,0,232,232,1-Jul
1-Jul,Sarawak,2,544,546,1-Jul
1-Jul,Selangor,2,2885,2887,1-Jul
1-Jul,Terengganu,0,50,50,1-Jul
1-Jul,Federal Territory of Kuala Lumpur,0,988,988,1-Jul
1-Jul,Federal Territory of Labuan,0,129,129,1-Jul
1-Jul,Federal Territory of Putrajaya,0,10,10,1-Jul
2-Jul,Johor,0,517,517,2-Jul
2-Jul,Kedah,0,257,257,2-Jul
2-Jul,Kelantan,0,129,129,2-Jul
2-Jul,Melaka,0,202,202,2-Jul
2-Jul,Negeri Sembilan,1,606,607,2-Jul
2-Jul,Pahang,0,329,329,2-Jul
2-Jul,Perak,0,182,182,2-Jul
2-Jul,Perlis,0,0,0,2-Jul
2-Jul,Penang,0,351,351,2-Jul
2-Jul,Sabah,0,230,230,2-Jul
2-Jul,Sarawak,0,440,440,2-Jul
2-Jul,Selangor,1,2907,2908,2-Jul
2-Jul,Terengganu,0,44,44,2-Jul
2-Jul,Federal Territory of Kuala Lumpur,1,637,638,2-Jul
2-Jul,Federal Territory of Labuan,0,131,131,2-Jul
2-Jul,Federal Territory of Putrajaya,0,20,20,2-Jul
3-Jul,Johor,2,414,416,3-Jul
3-Jul,Kedah,0,145,145,3-Jul
3-Jul,Kelantan,0,89,89,3-Jul
3-Jul,Melaka,0,345,345,3-Jul
3-Jul,Negeri Sembilan,0,699,699,3-Jul
3-Jul,Pahang,0,200,200,3-Jul
3-Jul,Perak,0,101,101,3-Jul
3-Jul,Perlis,0,2,2,3-Jul
3-Jul,Penang,0,142,142,3-Jul
3-Jul,Sabah,0,322,322,3-Jul
3-Jul,Sarawak,0,361,361,3-Jul
3-Jul,Selangor,2,3047,3049,3-Jul
3-Jul,Terengganu,0,51,51,3-Jul
